Algoritmo,Mínimo,Máximo,Média,Desvio-padrão
ILS,-5355.502299513461,-2312.109639056327,-3875.3222650490966,751.7249980336521
Hill Climbing,-759.7194393052946,621.4537885746678,-18.61626762695726,310.9089047769108
