Algoritmo,Mínimo,Máximo,Média,Desvio-padrão
ILS,-9011.613537307148,-4248.683071930377,-5667.944565093893,905.0164678808414
Hill Climbing,-984.4944394968788,436.8679610323318,-425.78250040628797,380.76399154158383
